center_x,center_y,label,orientation,avg_height,orig_index
11452,3017,double_house,90.0,283.8642578125,99
12574,3019,palace,90.0,249.93142700195312,100
12569,3003,double_house,90.0,251.1435546875,101
12506,2997,unknown_elongated_building,8.130102157592773,257.1842956542969,103
12533,2973,unknown_large_building,24.443954467773438,255.88609313964844,104
12960,2935,palace,20.556045532226562,268.9499206542969,105
12856,2931,platform_large,90.0,251.61199951171875,106
11035,2846,double_house,90.0,260.77032470703125,107
12938,2836,house,90.0,263.5395202636719,108
11120,2835,house,90.0,268.6455993652344,109
11061,2828,palace,90.0,263.1029968261719,110
11037,2805,palace,90.0,262.47149658203125,111
12941,2756,palace,90.0,273.4140930175781,112
13169,2692,house,26.56505012512207,273.9742126464844,113
13186,2689,unknown_small_building,90.0,273.7782897949219,114
12237,2685,cluster_houses,29.05460548400879,282.6621398925781,115
12922,2680,palace,90.0,265.76470947265625,116
11314,2673,house,90.0,275.8199462890625,117
13173,2663,platform_large,45.0,273.62005615234375,118
11291,2664,house,90.0,275.88970947265625,119
12749,2663,house,45.0,310.8507080078125,120
12718,2664,palace,90.0,312.4112243652344,121
11087,2658,house,90.0,258.9728088378906,122
12739,2649,palace,90.0,312.4818420410156,123
11101,2644,palace,90.0,260.3102722167969,124
13134,2596,palace,90.0,279.8056945800781,125
13174,2581,unknown_elongated_building,25.64100456237793,280.2425537109375,126
13113,2567,palace,90.0,280.7889099121094,127
13151,2543,palace,90.0,280.7883605957031,128
12953,2505,ruin_small,90.0,285.8427734375,129
12966,2497,house,90.0,285.6443176269531,130
12919,1970,house,90.0,292.17987060546875,131
13073,1959,platform_large,30.963754653930664,268.38043212890625,132
11338,1899,house,90.0,298.02398681640625,133
12795,1836,house,90.0,320.66925048828125,134
11840,1698,house,90.0,302.38714599609375,135
11364,1486,house,90.0,282.7621765136719,137
12520,1484,house,90.0,297.9598083496094,138
12536,1491,double_house,90.0,296.724853515625,139
12506,1494,cluster_houses,65.55604553222656,297.770751953125,140
12518,1466,platform_large,18.434947967529297,297.9835510253906,141
12633,1456,house,90.0,310.43768310546875,142
11063,1131,palace,90.0,282.516845703125,143
12145,1088,platform_large,8.13010311126709,287.6675720214844,144
12432,807,house,90.0,307.0523376464844,145
11578,130,unknown_small_building,90.0,297.08184814453125,146
11745,123,house,90.0,305.0502014160156,147
11512,62,palace,81.8698959350586,273.0138854980469,149
11578,49,palace,90.0,280.3942565917969,150
14631,3494,house,90.0,217.94483947753906,151
14534,3492,house,90.0,213.85276794433594,152
14878,3494,unknown_elongated_building,90.0,220.7705078125,153
15199,3490,house,90.0,219.86019897460938,154
14559,3492,house,90.0,214.9129180908203,155
15012,3492,double_house,24.443954467773438,215.650390625,156
14647,3482,double_house,90.0,218.4010009765625,157
14706,3490,cluster_houses,90.0,218.6504364013672,158
14504,3466,cluster_houses,14.03624439239502,213.0064239501953,159
14806,3456,house,90.0,218.51580810546875,160
15017,3461,cluster_houses,45.0,216.7196502685547,161
14572,3439,palace,90.0,215.93763732910156,162
14864,3445,double_house,5.440331935882568,219.97268676757812,163
14707,3423,palace_large,19.798877716064453,220.10678100585938,164
14939,3423,unknown_large_building,34.2868766784668,219.160400390625,165
15189,3415,double_house,11.309932708740234,218.68911743164062,166
14685,3412,cluster_houses,27.897274017333984,220.13546752929688,167
14510,3409,platform_large,12.094757080078125,213.02359008789062,168
14894,3411,cluster_houses,5.194429397583008,221.02529907226562,169
14766,3413,cluster_houses,90.0,219.48313903808594,170
13880,3401,ruin_small,90.0,210.64161682128906,171
14451,3401,unknown_large_building,90.0,210.45382690429688,172
14642,3409,cluster_houses,8.13010311126709,219.02642822265625,173
14801,3383,double_house,78.2317123413086,218.7848663330078,174
14922,3379,cluster_houses,19.29004669189453,218.98133850097656,175
13955,3364,unknown_small_building,90.0,207.20465087890625,176
14817,3362,double_house,9.462322235107422,218.6990203857422,177
14772,3373,cluster_houses,69.22774505615234,219.6186981201172,178
14746,3346,palace_large,87.1375961303711,219.07664489746094,179
13724,3340,ruin_small,90.0,224.47789001464844,180
13517,3336,house,90.0,226.37022399902344,181
13561,3329,cluster_houses,10.30484676361084,229.7646484375,182
13523,3319,double_house,85.60128784179688,228.9496612548828,183
14770,3315,platform_large,7.594643592834473,218.13912963867188,185
15021,3309,palace,90.0,217.72560119628906,186
15075,3290,house,90.0,217.8083953857422,187
15054,3289,double_house,8.130102157592773,218.16468811035156,188
14924,3274,house,90.0,218.0707550048828,189
13623,3235,double_house,90.0,229.47854614257812,190
13452,3199,double_house,90.0,238.15997314453125,191
13467,3182,house,90.0,238.5565948486328,192
15291,3186,ruin_large_rectangular,40.60129928588867,220.6027069091797,194
15262,3183,platform_large,81.02737426757812,220.65115356445312,195
15278,3165,double_house,8.13010311126709,220.9516143798828,196
13295,3165,house,90.0,229.07676696777344,197
14805,3155,cluster_houses,83.6598129272461,219.40232849121094,198
14947,3104,house,6.34019136428833,220.38894653320312,199
14365,3099,unknown_large_building,90.0,218.1395721435547,200
15088,3099,platform_large,13.448614120483398,222.173095703125,202
15020,3079,palace,90.0,222.66851806640625,203
13454,3060,palace,90.0,245.06143188476562,204
13438,3023,double_house,7.125016689300537,248.0266876220703,205
15175,3011,unknown_small_building,34.695152282714844,228.1779022216797,206
14097,2972,house,90.0,215.61636352539062,207
14762,2977,double_house,90.0,225.3481903076172,208
14989,2969,platform_large,18.43494987487793,233.41941833496094,209
15002,2960,double_house,21.037511825561523,234.07772827148438,210
14920,2948,palace,9.462322235107422,233.83042907714844,211
15390,2935,unknown_large_building,90.0,235.33114624023438,214
14759,2931,house,90.0,229.7436981201172,215
15144,2920,double_house,3.814074993133545,240.7235870361328,216
15177,2927,cluster_houses,8.130102157592773,238.4544677734375,217
14907,2893,unknown_small_building,14.03624439239502,237.33949279785156,218
14404,2889,house,90.0,223.2055206298828,219
14922,2856,house,9.462321281433105,243.29766845703125,220
14786,2853,platform_large,6.34019136428833,235.2071075439453,221
15028,2841,house,90.0,244.7611846923828,222
14937,2838,double_house,2.726310968399048,245.2318115234375,223
14833,2841,platform_large,90.0,235.18170166015625,224
14994,2838,house,90.0,247.19766235351562,225
15009,2829,unknown_large_building,90.0,248.5592498779297,226
15009,2810,unknown_elongated_building,24.62356185913086,249.01947021484375,227
15243,2728,house,90.0,262.8641052246094,229
15077,2717,double_house,90.0,260.8327331542969,230
14731,2696,ruin_small,83.6598129272461,268.7491149902344,232
15396,2688,unknown_small_building,90.0,258.4060363769531,233
15113,2694,cluster_houses,80.53767395019531,264.8833923339844,234
14733,2676,house,90.0,270.9151916503906,235
15384,2691,unknown_elongated_building,82.14668273925781,257.7420959472656,236
15139,2676,double_house,11.309932708740234,265.82110595703125,237
14785,2675,double_house,90.0,265.7832946777344,238
15369,2662,palace,90.0,261.6502685546875,240
14214,2644,house,90.0,228.6298065185547,241
15368,2637,house,90.0,263.01971435546875,242
15376,2548,house,90.0,279.7928466796875,243
14307,2484,platform_large,90.0,243.51516723632812,244
15205,2426,house,90.0,297.1625061035156,245
14794,2363,ruin_small,90.0,255.94253540039062,246
14108,2336,palace,90.0,267.1264953613281,247
14906,1747,double_house,5.710593223571777,247.04595947265625,248
14904,1730,double_house,84.2894058227539,247.0519256591797,249
14886,1718,double_house,90.0,247.43515014648438,250
14924,1724,double_house,90.0,247.57020568847656,251
14906,1703,palace,90.0,247.25144958496094,252
14854,1697,double_house,90.0,245.2734832763672,253
14888,1676,house,90.0,245.1081085205078,254
14198,844,palace,90.0,336.7889404296875,255
14916,75,ruin_large_rectangular,16.699243545532227,200.8566436767578,256
13619,64,ruin_small,90.0,241.11729431152344,258
13564,63,house,18.434947967529297,247.84080505371094,259
15230,58,house,90.0,231.03404235839844,261
15384,25,ruin_elongated,90.0,0.0,263
16142,3440,house,90.0,176.8605194091797,264
15512,3432,unknown_large_building,90.0,220.8050079345703,265
15556,3415,house,90.0,221.6043243408203,266
15541,3413,house,90.0,221.36019897460938,267
15724,3405,house,90.0,223.9424591064453,268
15563,3402,platform_large,90.0,222.19873046875,269
15689,3401,palace,45.0,225.69720458984375,270
15777,3357,platform_small,90.0,225.3739471435547,271
15790,3342,house,90.0,225.4416961669922,272
15705,3323,platform_large,45.0,225.31350708007812,273
15682,3305,double_house,14.470293045043945,224.6679229736328,274
15782,3278,unknown_large_building,90.0,222.47256469726562,276
15848,3259,house,90.0,223.4402618408203,277
15816,3260,ruin_small,90.0,222.48355102539062,278
15753,3253,cluster_houses,54.688785552978516,221.36572265625,279
15803,3240,double_house,90.0,223.27371215820312,280
15448,3234,double_house,82.23483276367188,221.3661651611328,281
15766,3220,double_house,83.6598129272461,222.06199645996094,282
15856,3163,double_house,5.7105937004089355,226.80722045898438,283
15429,3165,cluster_houses,7.125016689300537,221.33975219726562,285
15833,3156,unknown_large_building,39.09385681152344,225.8133544921875,286
15558,3127,house,90.0,221.64578247070312,287
15865,3122,ruin_small,63.43495178222656,227.07720947265625,288
15560,3106,double_house,90.0,222.83697509765625,289
15523,3107,palace,90.0,223.0951385498047,290
16960,3092,ruin_small,90.0,176.27142333984375,291
15786,3092,house,90.0,224.63223266601562,292
15552,3043,platform_large,90.0,225.95335388183594,293
15741,3044,double_house,90.0,224.66558837890625,294
15788,3045,platform_small,90.0,225.8682098388672,295
