wkt,label,orientation,avg_height,orig_index
"POLYGON((244.48884401093326 281.3691674537267, 250.84786923384397 241.94320599625604, 267.51115598906676 244.63083254627333, 261.15213076615606 284.05679400374396, 244.48884401093326 281.3691674537267))",12_juego,-80.83765411376953,149.92062377929688,29
"POLYGON((217.9594607421663 277.74324393088693, 224.5810797427915 238.01351373107732, 238.0405392578337 240.25675606911304, 231.4189202572085 279.98648626892265, 217.9594607421663 277.74324393088693))",12_juego,-80.53768157958984,150.53826904296875,30
"POLYGON((376.5 251.5, 376.5 238.5, 407.5 238.5, 407.5 251.5, 376.5 251.5))",02_double_house,-90.0,146.4399871826172,31
"POLYGON((173.5 254.5, 173.5 237.5, 210.5 237.5, 210.5 254.5, 173.5 254.5))",02_double_house,-90.0,152.06626892089844,32
"POLYGON((342.5 240.0, 342.5 224.0, 363.5 224.0, 363.5 240.0, 342.5 240.0))",04_palace,-90.0,148.47052001953125,34
"POLYGON((289.0 229.5, 289.0 218.5, 295.0 218.5, 295.0 229.5, 289.0 229.5))",01_house,-90.0,146.8094482421875,35
"POLYGON((249.0 218.0, 249.0 206.0, 255.0 206.0, 255.0 218.0, 249.0 218.0))",ruin_small,-90.0,149.194091796875,37
"POLYGON((323.0 209.0, 323.0 197.0, 329.0 197.0, 329.0 209.0, 323.0 209.0))",01_house,-90.0,147.13389587402344,39
"POLYGON((299.0 241.0, 299.0 199.0, 319.0 199.0, 319.0 241.0, 299.0 241.0))",cluster_houses,-90.0,146.7325439453125,40
"POLYGON((332.6748173027282 217.501222343268, 336.5770158822375 191.486553103085, 343.3251826972718 192.498777656732, 339.4229841177625 218.513446896915, 332.6748173027282 217.501222343268))",16_platform_large,-81.46923828125,146.91836547851562,41
"POLYGON((241.0 201.5, 241.0 184.5, 261.0 184.5, 261.0 201.5, 241.0 201.5))",16_platform_large,-90.0,150.57794189453125,42
"POLYGON((278.96153860187945 169.80769236977636, 282.50000006622264 164.5000001261502, 291.03846139812055 170.19230763022364, 287.49999993377736 175.4999998738498, 278.96153860187945 169.80769236977636))",01_house,-56.309932708740234,148.01951599121094,45
"POLYGON((46.617646504360444 177.52941162850036, 50.79411830629579 160.82352911167868, 57.382353495639556 162.47058837149964, 53.20588169370421 179.17647088832132, 46.617646504360444 177.52941162850036))",01_house,-75.96375274658203,168.4391632080078,47
"POLYGON((398.0 164.5, 398.0 153.5, 412.0 153.5, 412.0 164.5, 398.0 164.5))",16_platform_large,-90.0,145.7832489013672,48
"POLYGON((363.0 164.0, 363.0 152.0, 373.0 152.0, 373.0 164.0, 363.0 164.0))",03_palace,-90.0,148.59103393554688,49
"POLYGON((126.82692493780479 205.86538738347062, 137.94230676179706 150.28846020609748, 157.1730750621952 154.13461261652938, 146.05769323820294 209.71153979390252, 126.82692493780479 205.86538738347062))",04_palace_large,-78.69007110595703,158.97576904296875,50
"POLYGON((317.5 180.0, 317.5 150.0, 366.5 150.0, 366.5 180.0, 317.5 180.0))",cluster_houses,-90.0,148.077880859375,52
"POLYGON((261.08564687722793 179.5003950872653, 268.3655819002337 137.03410148069077, 276.91435312277207 138.4996049127347, 269.6344180997663 180.96589851930923, 261.08564687722793 179.5003950872653))",02_double_house,-80.27242279052734,149.06658935546875,53
"POLYGON((405.5 144.0, 405.5 138.0, 414.5 138.0, 414.5 144.0, 405.5 144.0))",01_house,-90.0,145.60987854003906,54
"POLYGON((369.99705879657387 144.63823518701759, 389.0852943874165 132.49117658871327, 396.00294120342613 143.36176481298241, 376.9147056125835 155.50882341128673, 369.99705879657387 144.63823518701759))",02_double_house,-32.47119140625,147.3543701171875,55
"POLYGON((355.5 136.5, 355.5 127.5, 368.5 127.5, 368.5 136.5, 355.5 136.5))",04_palace,-90.0,147.98533630371094,58
"POLYGON((284.2692299650242 152.15384451665017, 290.5384630206358 120.80769075872561, 335.7307700349758 129.84615548334983, 329.4615369793642 161.1923092412744, 284.2692299650242 152.15384451665017))",cluster_houses,-78.6900634765625,148.28561401367188,59
"POLYGON((341.0 140.0, 341.0 122.0, 351.0 122.0, 351.0 140.0, 341.0 140.0))",02_double_house,-90.0,148.4840850830078,60
"POLYGON((222.0 133.0, 222.0 121.0, 238.0 121.0, 238.0 133.0, 222.0 133.0))",16_platform_large,-90.0,150.57484436035156,61
"POLYGON((283.5 127.0, 283.5 111.0, 290.5 111.0, 290.5 127.0, 283.5 127.0))",01_house,-90.0,148.00897216796875,62
"POLYGON((371.08823480854613 116.14705742247222, 373.852941266292 105.08823469674516, 400.91176519145387 111.85294257752778, 398.147058733708 122.91176530325484, 371.08823480854613 116.14705742247222))",04_palace,-75.96375274658203,146.69517517089844,63
"POLYGON((41.0 103.0, 41.0 97.0, 59.0 97.0, 59.0 103.0, 41.0 103.0))",16_platform_large,-90.0,162.32875061035156,64
"POLYGON((339.0 91.5, 339.0 76.5, 357.0 76.5, 357.0 91.5, 339.0 91.5))",16_platform_large,-90.0,146.62461853027344,66
"POLYGON((37.0 86.5, 37.0 73.5, 41.0 73.5, 41.0 86.5, 37.0 86.5))",ruin_small,-90.0,162.34483337402344,67
"POLYGON((320.0 88.0, 320.0 74.0, 326.0 74.0, 326.0 88.0, 320.0 88.0))",01_house,-90.0,147.05677795410156,68
"POLYGON((159.0 77.5, 159.0 66.5, 175.0 66.5, 175.0 77.5, 159.0 77.5))",02_double_house,-90.0,154.1141357421875,70
"POLYGON((73.35000023486423 75.94999900377037, 78.05000043204213 61.850000839767986, 84.64999976513577 64.05000099622963, 79.94999956795787 78.14999916023201, 73.35000023486423 75.94999900377037))",01_house,-71.56504821777344,160.23306274414062,71
"POLYGON((12.0 60.0, 12.0 48.0, 26.0 48.0, 26.0 60.0, 12.0 60.0))",04_palace,-90.0,163.51254272460938,72
"POLYGON((287.5 54.5, 287.5 45.5, 310.5 45.5, 310.5 54.5, 287.5 54.5))",02_double_house,-90.0,147.72666931152344,73
"POLYGON((312.0 48.0, 312.0 38.0, 322.0 38.0, 322.0 48.0, 312.0 48.0))",unknown_small_building,-90.0,147.46107482910156,74
"POLYGON((264.0 38.5, 264.0 25.5, 270.0 25.5, 270.0 38.5, 264.0 38.5))",ruin_small,-90.0,149.45645141601562,76
"POLYGON((266.86065331642556 64.53278830459088, 280.71185477934125 17.784991250951066, 293.13934668357444 21.46721169540912, 279.28814522065875 68.21500874904893, 266.86065331642556 64.53278830459088))",02_double_house,-73.49563598632812,149.028076171875,78
"POLYGON((48.5 27.0, 48.5 17.0, 53.5 17.0, 53.5 27.0, 48.5 27.0))",ruin_small,-90.0,162.17449951171875,79
"POLYGON((10.0405410950285 31.756757212991083, 12.824323814039982 15.054054089966966, 19.9594589049715 16.243242787008917, 17.175676185960018 32.94594591003303, 10.0405410950285 31.756757212991083))",01_house,-80.53768157958984,164.18536376953125,80
"POLYGON((20.468609709957924 20.661314863382113, 43.54598819402302 -1.201462571871712, 53.531390290042076 9.338685136617887, 30.454011805976982 31.201462571871712, 20.468609709957924 20.661314863382113))",unknown_large_building,-43.451839447021484,163.56338500976562,83
"POLYGON((350.0 20.0, 350.0 4.0, 364.0 4.0, 364.0 20.0, 350.0 20.0))",04_palace,-90.0,146.33370971679688,84
"POLYGON((265.5 16.5, 265.5 3.5, 272.5 3.5, 272.5 16.5, 265.5 16.5))",01_house,-90.0,151.79884338378906,85
"POLYGON((-0.5 9.5, -0.5 -1.5, 10.5 -1.5, 10.5 9.5, -0.5 9.5))",03_palace,-90.0,167.14927673339844,86
